u_id,Battery_Cycle_No,charging_length,discharging_length,u_type
1917,396,6671.0,2106.0,3
1926,318,6751.0,2026.0,3
1933,372,6693.0,2084.0,3
1944,366,4832.0,3945.0,2
1951,277,1891.0,6886.0,1
1954,396,6662.0,2115.0,3
1958,270,8329.0,448.0,3
1960,395,6641.0,2136.0,3
1962,269,1764.0,7013.0,1
1964,369,4939.0,3838.0,2
1965,357,6690.0,2087.0,3
1967,367,4869.0,3908.0,2
1972,271,1772.0,7005.0,1
1974,389,6692.0,2085.0,3
1975,367,4871.0,3906.0,2
1977,359,6703.0,2074.0,3
1978,395,6638.0,2139.0,3
1979,365,4835.0,3942.0,2
1981,396,6686.0,2091.0,3
1983,395,6660.0,2117.0,3
1984,367,4881.0,3896.0,2
1986,395,6679.0,2098.0,3
1987,396,6678.0,2099.0,3
1988,367,4850.0,3927.0,2
1997,366,4844.0,3933.0,2
1998,396,6690.0,2087.0,3
2001,264,5539.0,3238.0,2
2003,269,1727.0,7050.0,1
2007,364,4801.0,3976.0,2
2011,270,1767.0,7010.0,1
2015,214,2639.0,6138.0,1
2020,361,6683.0,2094.0,3
2021,396,6690.0,2087.0,3
2027,367,4877.0,3900.0,2
2031,395,6660.0,2117.0,3
2032,368,4890.0,3887.0,2
2034,270,1773.0,7004.0,1
2035,329,6742.0,2035.0,3
2036,395,6637.0,2140.0,3
2038,266,1725.0,7052.0,1
2039,274,1835.0,6942.0,1
2043,271,1777.0,7000.0,1
2060,396,6684.0,2093.0,3
2061,268,7369.0,1408.0,3
2062,368,4896.0,3881.0,2
2063,368,4914.0,3863.0,2
2064,395,6667.0,2110.0,3
2068,395,6657.0,2120.0,3
2081,223,2469.0,6308.0,1
2083,371,4906.0,3871.0,2
2084,265,1678.0,7099.0,1
2086,366,4840.0,3937.0,2
2087,395,6651.0,2126.0,3
2091,269,1754.0,7023.0,1
2099,320,5014.0,3763.0,2
2103,367,4896.0,3881.0,2
2105,270,1759.0,7018.0,1
2106,255,5887.0,2890.0,2
2107,278,5405.0,3372.0,2
2108,396,6677.0,2100.0,3
2110,258,5712.0,3065.0,2
2113,395,6646.0,2131.0,3
2114,396,6676.0,2101.0,3
2115,274,1789.0,6988.0,1
2117,367,4885.0,3892.0,2
2123,274,1820.0,6957.0,1
2125,245,7120.0,1657.0,3
2126,366,4851.0,3926.0,2
2130,367,4903.0,3874.0,2
2134,368,4905.0,3872.0,2
2139,397,6670.0,2107.0,3
2143,366,4893.0,3884.0,2
2147,395,6675.0,2102.0,3
2150,271,1768.0,7009.0,1
2154,270,1757.0,7020.0,1
2156,396,6652.0,2125.0,3
2160,368,4874.0,3903.0,2
2164,236,5652.0,3125.0,2
2167,271,1780.0,6997.0,1
2173,237,5295.0,3482.0,1
2174,397,6671.0,2106.0,3
2175,269,1739.0,7038.0,1
2176,287,5218.0,3559.0,2
2178,368,4928.0,3849.0,2
2179,368,4912.0,3865.0,2
2181,272,1780.0,6997.0,1
2182,366,4850.0,3927.0,2
2183,269,1752.0,7025.0,1
2184,395,6671.0,2106.0,3
2187,351,4890.0,3887.0,2
2188,270,1779.0,6998.0,1
2189,394,6650.0,2127.0,3
2191,395,6663.0,2114.0,3
2196,397,6678.0,2099.0,3
2198,366,4838.0,3939.0,2
2202,396,6668.0,2109.0,3
2204,270,1747.0,7030.0,1
2205,367,4858.0,3919.0,2
2206,395,6654.0,2123.0,3
2208,266,1696.0,7081.0,1
2209,367,4884.0,3893.0,2
2210,395,6671.0,2106.0,3
2211,396,6683.0,2094.0,3
2212,367,4871.0,3906.0,2
2216,267,1710.0,7067.0,1
2219,284,6960.0,1817.0,3
2220,269,1741.0,7036.0,1
2222,396,6651.0,2126.0,3
2223,261,1807.0,6970.0,1
2224,368,4892.0,3885.0,2
2225,395,6671.0,2106.0,3
2229,271,1755.0,7022.0,1
2233,367,4874.0,3903.0,2
2234,219,2904.0,5873.0,1
2235,366,4871.0,3906.0,2
2240,267,1722.0,7055.0,1
2241,370,4925.0,3852.0,2
2242,274,1827.0,6950.0,1
2243,263,1662.0,7115.0,1
2257,268,1741.0,7036.0,1
2259,218,2622.0,6155.0,1
2261,239,1986.0,6791.0,1
2267,394,6639.0,2138.0,3
2268,270,1785.0,6992.0,1
2269,397,6716.0,2061.0,3
2271,395,6664.0,2113.0,3
2273,269,7270.0,1507.0,3
2276,364,4834.0,3943.0,2
2278,281,6969.0,1808.0,3
2280,366,4865.0,3912.0,2
2286,365,4853.0,3924.0,2
2289,395,6652.0,2125.0,3
2293,272,1793.0,6984.0,1
2298,366,4892.0,3885.0,2
2304,367,4875.0,3902.0,2
2314,365,4821.0,3956.0,2
2317,253,6112.0,2665.0,2
2318,267,7552.0,1225.0,3
2322,396,6669.0,2108.0,3
2323,323,6728.0,2049.0,3
2328,368,4908.0,3869.0,2
2329,367,4868.0,3909.0,2
2330,268,1740.0,7037.0,1
2335,368,4890.0,3887.0,2
2347,396,6667.0,2110.0,3
2355,395,6671.0,2106.0,3
2358,267,7678.0,1099.0,3
2362,368,4901.0,3876.0,2
2365,314,6798.0,1979.0,3
2366,395,6666.0,2111.0,3
2367,270,1767.0,7010.0,1
2371,263,5752.0,3025.0,2
2374,267,1709.0,7068.0,1
2377,254,5907.0,2870.0,2
2382,394,6649.0,2128.0,3
2384,368,4896.0,3881.0,2
2395,269,1753.0,7024.0,1
2398,266,1716.0,7061.0,1
2402,270,1771.0,7006.0,1
2403,286,6921.0,1856.0,3
2404,395,6653.0,2124.0,3
2408,270,5310.0,3467.0,2
2409,267,1728.0,7049.0,1
2411,265,1694.0,7083.0,1
2412,395,6661.0,2116.0,3
2413,395,6676.0,2101.0,3
2414,367,4888.0,3889.0,2
2415,366,4838.0,3939.0,2
2421,276,7052.0,1725.0,3
2425,265,1699.0,7078.0,1
2426,396,6689.0,2088.0,3
2434,331,4918.0,3859.0,2
2435,365,4888.0,3889.0,2
2438,385,6661.0,2116.0,3
2439,367,4883.0,3894.0,2
2441,266,1715.0,7062.0,1
2443,366,4866.0,3911.0,2
2444,254,6005.0,2772.0,2
2447,396,6671.0,2106.0,3
2448,261,5538.0,3239.0,2
2449,231,2131.0,6646.0,1
2454,268,1734.0,7043.0,1
2455,367,4889.0,3888.0,2
2458,267,1715.0,7062.0,1
2461,243,2069.0,6708.0,1
2462,367,4877.0,3900.0,2
2469,267,7460.0,1317.0,3
2471,373,6680.0,2097.0,3
2474,266,5403.0,3374.0,2
2475,278,6977.0,1800.0,3
2476,349,6733.0,2044.0,3
2477,364,4801.0,3976.0,2
2479,395,6665.0,2112.0,3
2484,262,7479.0,1298.0,2
2487,237,5279.0,3498.0,1
2488,274,1846.0,6931.0,1
2489,395,6662.0,2115.0,3
2494,270,1760.0,7017.0,1
2498,271,1804.0,6973.0,1
2499,267,1723.0,7054.0,1
2501,396,6648.0,2129.0,3
2503,352,4933.0,3844.0,2
2506,274,5406.0,3371.0,2
2511,263,1673.0,7104.0,1
2514,368,4886.0,3891.0,2
2515,268,1743.0,7034.0,1
2517,269,1726.0,7051.0,1
2520,395,6653.0,2124.0,3
2525,395,6682.0,2095.0,3
2529,369,4928.0,3849.0,2
2534,270,1771.0,7006.0,1
2537,395,6671.0,2106.0,3
2539,367,4917.0,3860.0,2
2541,396,6669.0,2108.0,3
2543,369,4900.0,3877.0,2
2544,366,4877.0,3900.0,2
2545,270,1778.0,6999.0,1
2546,394,6640.0,2137.0,3
2552,267,1715.0,7062.0,1
2553,263,1675.0,7102.0,1
2554,395,6672.0,2105.0,3
2557,396,6689.0,2088.0,3
2558,263,1686.0,7091.0,1
2560,270,1760.0,7017.0,1
2561,318,5009.0,3768.0,2
2562,366,4832.0,3945.0,2
2565,367,4907.0,3870.0,2
2566,396,6670.0,2107.0,3
2571,395,6660.0,2117.0,3
2577,314,6770.0,2007.0,3
2578,267,1729.0,7048.0,1
2579,395,6664.0,2113.0,3
2580,367,4871.0,3906.0,2
2584,311,5062.0,3715.0,2
2588,340,6732.0,2045.0,3
2595,266,1716.0,7061.0,1
2600,366,4851.0,3926.0,2
2603,265,1700.0,7077.0,1
2604,367,4879.0,3898.0,2
2608,269,1735.0,7042.0,1
2610,396,6681.0,2096.0,3
2611,368,4909.0,3868.0,2
2612,367,4867.0,3910.0,2
2613,366,4833.0,3944.0,2
2623,266,1718.0,7059.0,1
2626,262,5413.0,3364.0,2
2630,368,4869.0,3908.0,2
2633,367,4895.0,3882.0,2
2635,395,6668.0,2109.0,3
2637,368,4899.0,3878.0,2
2638,369,4908.0,3869.0,2
2639,262,1663.0,7114.0,1
2640,395,6662.0,2115.0,3
2647,369,4903.0,3874.0,2
2650,270,1760.0,7017.0,1
2653,366,4851.0,3926.0,2
2655,265,1678.0,7099.0,1
2659,269,1791.0,6986.0,1
2661,271,1775.0,7002.0,1
2663,395,6654.0,2123.0,3
2664,268,1743.0,7034.0,1
2668,368,4928.0,3849.0,2
2672,275,1835.0,6942.0,1
2673,396,6672.0,2105.0,3
2676,236,5260.0,3517.0,1
2677,270,1773.0,7004.0,1
2680,267,1730.0,7047.0,1
2681,394,6651.0,2126.0,3
2686,367,4833.0,3944.0,2
2688,394,6623.0,2154.0,3
2689,271,1781.0,6996.0,1
2692,366,4893.0,3884.0,2
2693,267,1701.0,7076.0,1
2695,269,1750.0,7027.0,1
2702,273,1802.0,6975.0,1
2703,258,5627.0,3150.0,2
2704,263,7282.0,1495.0,1
2705,272,1805.0,6972.0,1
2707,297,6868.0,1909.0,3
2708,367,4841.0,3936.0,2
2709,306,6805.0,1972.0,3
2710,395,6653.0,2124.0,3
2715,271,1786.0,6991.0,1
2720,395,6679.0,2098.0,3
2721,395,6643.0,2134.0,3
2724,367,4862.0,3915.0,2
2725,269,1767.0,7010.0,1
2726,272,1818.0,6959.0,1
2730,275,7599.0,1178.0,3
2732,369,4917.0,3860.0,2
2734,273,1835.0,6942.0,1
2735,329,6732.0,2045.0,3
2738,368,4928.0,3849.0,2
2746,397,6669.0,2108.0,3
2751,395,6654.0,2123.0,3
2752,395,6653.0,2124.0,3
2755,262,1627.0,7150.0,1
2759,254,6250.0,2527.0,2
2760,396,6661.0,2116.0,3
2764,267,7763.0,1014.0,3
2769,210,7449.0,1328.0,3
2771,270,1772.0,7005.0,1
2775,269,1765.0,7012.0,1
2777,280,6997.0,1780.0,3
2780,396,6664.0,2113.0,3
2783,270,1763.0,7014.0,1
2784,366,4869.0,3908.0,2
2786,367,4882.0,3895.0,2
2789,396,6666.0,2111.0,3
2790,273,1802.0,6975.0,1
2791,367,4903.0,3874.0,2
2795,395,6674.0,2103.0,3
2798,396,6676.0,2101.0,3
2799,365,4873.0,3904.0,2
2800,266,1721.0,7056.0,1
2802,261,7058.0,1719.0,1
2805,265,7694.0,1083.0,2
2806,397,6670.0,2107.0,3
2808,366,4872.0,3905.0,2
2809,368,4878.0,3899.0,2
2814,397,6677.0,2100.0,3
2818,395,6643.0,2134.0,3
2820,274,1788.0,6989.0,1
2821,320,4903.0,3874.0,2
2822,272,1793.0,6984.0,1
2824,270,1744.0,7033.0,1
2825,267,1736.0,7041.0,1
2827,395,6689.0,2088.0,3
2829,271,1782.0,6995.0,1
2835,270,1749.0,7028.0,1
2836,270,1748.0,7029.0,1
2840,267,1723.0,7054.0,1
2844,235,2126.0,6651.0,1
2853,394,6656.0,2121.0,3
2856,260,6980.0,1797.0,1
2857,264,1700.0,7077.0,1
2858,265,1676.0,7101.0,1
2860,365,4875.0,3902.0,2
2861,269,1738.0,7039.0,1
2863,366,4842.0,3935.0,2
2865,395,6663.0,2114.0,3
2870,396,6677.0,2100.0,3
2872,368,4871.0,3906.0,2
2874,366,4822.0,3955.0,2
2878,397,6694.0,2083.0,3
2879,266,1701.0,7076.0,1
2882,269,1729.0,7048.0,1
2883,396,6687.0,2090.0,3
2887,216,3543.0,5234.0,1
2888,269,1740.0,7037.0,1
2890,272,1791.0,6986.0,1
2893,266,1726.0,7051.0,1
2895,366,4894.0,3883.0,2
2898,395,6658.0,2119.0,3
2899,396,6671.0,2106.0,3
2902,269,1726.0,7051.0,1
2908,395,6661.0,2116.0,3
2915,274,1809.0,6968.0,1
2918,315,6787.0,1990.0,3
2919,367,4897.0,3880.0,2
2922,396,6660.0,2117.0,3
2923,216,2505.0,6272.0,1
2924,270,1748.0,7029.0,1
2925,395,6656.0,2121.0,3
2930,267,1732.0,7045.0,1
2937,273,1807.0,6970.0,1
2945,395,6662.0,2115.0,3
2948,369,4919.0,3858.0,2
2949,368,4884.0,3893.0,2
2950,272,1800.0,6977.0,1
2951,396,6680.0,2097.0,3
2953,270,1757.0,7020.0,1
2956,396,6678.0,2099.0,3
2976,266,1711.0,7066.0,1
2978,369,4912.0,3865.0,2
2980,270,1777.0,7000.0,1
2982,316,6810.0,1967.0,3
2983,365,4826.0,3951.0,2
2986,396,6654.0,2123.0,3
2988,396,6647.0,2130.0,3
2993,396,6667.0,2110.0,3
2994,396,6659.0,2118.0,3
2996,395,6676.0,2101.0,3
2997,365,4861.0,3916.0,2
2998,395,6645.0,2132.0,3
3002,396,6657.0,2120.0,3
3004,395,6660.0,2117.0,3
3007,269,1738.0,7039.0,1
3014,396,6675.0,2102.0,3
3015,394,6637.0,2140.0,3
3017,264,1687.0,7090.0,1
3020,265,1692.0,7085.0,1
3023,368,4889.0,3888.0,2
3026,367,4880.0,3897.0,2
3029,365,4834.0,3943.0,2
3034,267,1735.0,7042.0,1
3037,368,4851.0,3926.0,2
3038,395,6692.0,2085.0,3
3043,395,6657.0,2120.0,3
3044,272,5317.0,3460.0,2
3045,272,1802.0,6975.0,1
3049,395,6670.0,2107.0,3
3050,304,6817.0,1960.0,3
3051,396,6662.0,2115.0,3
3053,394,6635.0,2142.0,3
3055,267,1707.0,7070.0,1
3056,286,6950.0,1827.0,3
3058,265,1689.0,7088.0,1
3059,315,6788.0,1989.0,3
3064,266,1717.0,7060.0,1
3068,396,6689.0,2088.0,3
3077,281,6991.0,1786.0,3
3085,269,1750.0,7027.0,1
3089,271,1769.0,7008.0,1
3092,267,1723.0,7054.0,1
3098,364,4809.0,3968.0,2
3100,368,4917.0,3860.0,2
3101,396,6665.0,2112.0,3
3103,396,6694.0,2083.0,3
3106,272,1788.0,6989.0,1
3109,395,6654.0,2123.0,3
3110,394,6666.0,2111.0,3
3111,272,1804.0,6973.0,1
3115,369,4952.0,3825.0,2
3119,394,6626.0,2151.0,3
3123,265,1678.0,7099.0,1
3124,329,6767.0,2010.0,3
3126,368,4913.0,3864.0,2
3130,272,1809.0,6968.0,1
3133,368,4902.0,3875.0,2
3134,396,6666.0,2111.0,3
3142,396,6667.0,2110.0,3
3152,367,4867.0,3910.0,2
3153,269,1713.0,7064.0,1
3154,369,4913.0,3864.0,2
3157,271,1784.0,6993.0,1
3159,367,4866.0,3911.0,2
3165,396,6695.0,2082.0,3
3166,291,6913.0,1864.0,3
3167,290,5134.0,3643.0,2
3171,396,6677.0,2100.0,3
3174,267,1731.0,7046.0,1
3181,268,1778.0,6999.0,1
3183,396,6652.0,2125.0,3
3185,396,6679.0,2098.0,3
3187,395,6653.0,2124.0,3
3198,395,6648.0,2129.0,3
3199,268,1737.0,7040.0,1
3203,290,5136.0,3641.0,2
3204,395,6653.0,2124.0,3
3205,368,4900.0,3877.0,2
3206,267,1729.0,7048.0,1
3207,270,1749.0,7028.0,1
3210,272,1817.0,6960.0,1
3212,269,1746.0,7031.0,1
3219,327,6727.0,2050.0,3
3220,395,6637.0,2140.0,3
3221,276,7913.0,864.0,3
3224,397,6695.0,2082.0,3
3231,367,4855.0,3922.0,2
3234,368,4859.0,3918.0,2
3236,257,6778.0,1999.0,2
3238,255,5920.0,2857.0,2
3239,396,6635.0,2142.0,3
3240,267,1722.0,7055.0,1
3243,271,7137.0,1640.0,3
3244,367,4896.0,3881.0,2
3245,268,1713.0,7064.0,1
3246,264,5446.0,3331.0,2
3247,396,6665.0,2112.0,3
3252,307,6802.0,1975.0,3
3257,365,4838.0,3939.0,2
3258,368,4877.0,3900.0,2
3259,264,1694.0,7083.0,1
3260,273,1780.0,6997.0,1
3261,369,4871.0,3906.0,2
3262,396,6650.0,2127.0,3
3263,264,1680.0,7097.0,1
3269,396,6684.0,2093.0,3
3270,274,1847.0,6930.0,1
3272,265,1707.0,7070.0,1
3278,269,1714.0,7063.0,1
3279,367,4838.0,3939.0,2
3280,396,6673.0,2104.0,3
3281,274,1805.0,6972.0,1
3283,395,6667.0,2110.0,3
3288,366,4873.0,3904.0,2
3289,368,4903.0,3874.0,2
3294,367,4862.0,3915.0,2
3300,395,6671.0,2106.0,3
3303,268,1728.0,7049.0,1
3305,275,7055.0,1722.0,3
3307,367,4871.0,3906.0,2
3309,266,1732.0,7045.0,1
3310,397,6677.0,2100.0,3
3317,396,6682.0,2095.0,3
3319,396,6695.0,2082.0,3
3325,395,6677.0,2100.0,3
3326,268,1741.0,7036.0,1
3327,254,1962.0,6815.0,1
3331,260,7218.0,1559.0,2
3332,395,6651.0,2126.0,3
3333,270,1764.0,7013.0,1
3340,366,4873.0,3904.0,2
3352,367,4856.0,3921.0,2
3353,395,6673.0,2104.0,3
3355,257,5754.0,3023.0,2
3356,366,4842.0,3935.0,2
3360,349,6709.0,2068.0,3
3363,366,4874.0,3903.0,2
3366,268,1749.0,7028.0,1
3372,366,4889.0,3888.0,2
3374,395,6637.0,2140.0,3
3379,268,1749.0,7028.0,1
3380,310,6796.0,1981.0,3
3383,274,7093.0,1684.0,3
3387,270,1767.0,7010.0,1
3388,395,6667.0,2110.0,3
3395,395,6677.0,2100.0,3
3396,396,6680.0,2097.0,3
3398,395,6668.0,2109.0,3
3399,368,4912.0,3865.0,2
3401,396,6673.0,2104.0,3
3403,270,1765.0,7012.0,1
3404,214,3465.0,5312.0,1
3405,235,5144.0,3633.0,1
3409,263,5544.0,3233.0,2
3411,270,1768.0,7009.0,1
3414,262,5532.0,3245.0,2
3416,271,1776.0,7001.0,1
3420,368,4903.0,3874.0,2
3421,396,6664.0,2113.0,3
3429,367,4873.0,3904.0,2
3431,368,4883.0,3894.0,2
3434,367,4863.0,3914.0,2
3436,267,1729.0,7048.0,1
3437,396,6644.0,2133.0,3
3445,267,7590.0,1187.0,3
3450,367,4910.0,3867.0,2
3451,395,6656.0,2121.0,3
3452,369,4923.0,3854.0,2
3458,272,1809.0,6968.0,1
3460,268,1724.0,7053.0,1
3461,266,1719.0,7058.0,1
3464,255,5900.0,2877.0,2
3467,396,6672.0,2105.0,3
3468,394,6665.0,2112.0,3
3470,395,6665.0,2112.0,3
3474,268,1732.0,7045.0,1
3478,395,6647.0,2130.0,3
3486,266,1709.0,7068.0,1
3487,270,1745.0,7032.0,1
3491,366,4850.0,3927.0,2
3492,396,6650.0,2127.0,3
3493,366,4886.0,3891.0,2
3501,367,4836.0,3941.0,2
3504,395,6648.0,2129.0,3
3505,396,6667.0,2110.0,3
3506,396,6674.0,2103.0,3
3512,271,1780.0,6997.0,1
3513,269,1750.0,7027.0,1
3516,273,1792.0,6985.0,1
3518,365,4838.0,3939.0,2
3521,266,1720.0,7057.0,1
3523,276,7054.0,1723.0,3
3527,270,1774.0,7003.0,1
3528,269,1751.0,7026.0,1
3530,313,6820.0,1957.0,3
3531,396,6648.0,2129.0,3
3534,395,6640.0,2137.0,3
3540,395,6663.0,2114.0,3
3548,272,1791.0,6986.0,1
3550,396,6659.0,2118.0,3
3551,266,1733.0,7044.0,1
3552,396,6690.0,2087.0,3
3555,277,8017.0,760.0,3
3562,396,6667.0,2110.0,3
3564,366,4851.0,3926.0,2
3565,395,6674.0,2103.0,3
3567,396,6686.0,2091.0,3
3571,254,5937.0,2840.0,2
3573,368,4846.0,3931.0,2
3574,265,1713.0,7064.0,1
3575,395,6657.0,2120.0,3
3577,366,4867.0,3910.0,2
3579,365,4826.0,3951.0,2
3581,370,4897.0,3880.0,2
3582,395,6665.0,2112.0,3
3588,292,6898.0,1879.0,3
3589,269,1750.0,7027.0,1
3591,367,4892.0,3885.0,2
3594,395,6658.0,2119.0,3
3595,366,4844.0,3933.0,2
3599,268,1727.0,7050.0,1
3601,366,4886.0,3891.0,2
3603,269,1740.0,7037.0,1
3606,213,3276.0,5501.0,1
3609,367,4877.0,3900.0,2
3612,396,6667.0,2110.0,3
3617,395,6671.0,2106.0,3
3618,273,1766.0,7011.0,1
3619,395,6671.0,2106.0,3
3622,396,6667.0,2110.0,3
3628,268,1764.0,7013.0,1
3629,395,6668.0,2109.0,3
3630,281,6980.0,1797.0,3
3631,396,6653.0,2124.0,3
3632,268,1733.0,7044.0,1
3635,367,4856.0,3921.0,2
3636,395,6647.0,2130.0,3
3638,394,6652.0,2125.0,3
3642,367,4884.0,3893.0,2
3643,268,7280.0,1497.0,3
3647,366,4851.0,3926.0,2
3648,367,4919.0,3858.0,2
3655,264,1685.0,7092.0,1
3657,271,5262.0,3515.0,2
3658,396,6691.0,2086.0,3
3659,367,4853.0,3924.0,2
3663,369,4951.0,3826.0,2
3667,318,6798.0,1979.0,3
3670,272,1789.0,6988.0,1
3678,269,1757.0,7020.0,1
3679,270,1755.0,7022.0,1
3682,395,6654.0,2123.0,3
3689,367,4873.0,3904.0,2
3690,271,7158.0,1619.0,3
3694,368,4939.0,3838.0,2
3706,367,4879.0,3898.0,2
3708,395,6668.0,2109.0,3
3709,215,3400.0,5377.0,1
3714,367,4897.0,3880.0,2
3715,395,6642.0,2135.0,3
3716,366,4857.0,3920.0,2
3718,258,6747.0,2030.0,2
3720,264,1678.0,7099.0,1
3721,234,5233.0,3544.0,1
3722,396,6692.0,2085.0,3
3725,287,6902.0,1875.0,3
3727,367,4876.0,3901.0,2
3730,268,1683.0,7094.0,1
3731,395,6678.0,2099.0,3
3732,239,1943.0,6834.0,1
3739,396,6676.0,2101.0,3
3741,267,1716.0,7061.0,1
3743,368,4897.0,3880.0,2
3749,223,7214.0,1563.0,3
3750,395,6651.0,2126.0,3
3751,367,4870.0,3907.0,2
3752,293,6904.0,1873.0,3
3757,397,6671.0,2106.0,3
3762,267,1698.0,7079.0,1
3763,395,6657.0,2120.0,3
3764,366,4859.0,3918.0,2
3765,397,6680.0,2097.0,3
3770,268,7266.0,1511.0,3
3771,272,7144.0,1633.0,3
3772,368,4906.0,3871.0,2
3774,370,4896.0,3881.0,2
3777,395,6665.0,2112.0,3
3778,366,4864.0,3913.0,2
3789,297,6819.0,1958.0,3
3796,396,6669.0,2108.0,3
3797,395,6657.0,2120.0,3
3800,367,4869.0,3908.0,2
3804,269,1726.0,7051.0,1
3806,396,6662.0,2115.0,3
3807,280,5213.0,3564.0,2
3808,263,1678.0,7099.0,1
3813,272,1791.0,6986.0,1
3814,268,1757.0,7020.0,1
3816,320,6772.0,2005.0,3
3822,368,4892.0,3885.0,2
3826,266,1735.0,7042.0,1
3828,396,6679.0,2098.0,3
3830,367,4865.0,3912.0,2
3833,368,4866.0,3911.0,2
3843,396,6657.0,2120.0,3
3846,368,4917.0,3860.0,2
3847,257,6786.0,1991.0,2
3848,367,4865.0,3912.0,2
3855,274,1839.0,6938.0,1
3857,271,1763.0,7014.0,1
3860,267,1730.0,7047.0,1
3861,288,5111.0,3666.0,2
3865,268,1737.0,7040.0,1
3866,396,6679.0,2098.0,3
3869,394,6643.0,2134.0,3
3870,395,6640.0,2137.0,3
3873,397,6687.0,2090.0,3
3877,267,7706.0,1071.0,3
3879,395,6675.0,2102.0,3
3882,268,1741.0,7036.0,1
