u_id,Battery_Cycle_No,charging_length,discharging_length,u_type
1778,556,4071.0,4706.0,3
1781,111,132.0,8645.0,1
1782,558,4114.0,4663.0,3
1786,327,863.0,7914.0,2
1789,557,4095.0,4682.0,3
1790,556,4101.0,4676.0,3
1792,109,138.0,8639.0,1
1796,320,830.0,7947.0,2
1798,557,4092.0,4685.0,3
1801,556,4113.0,4664.0,3
1807,325,851.0,7926.0,2
1811,111,134.0,8643.0,1
1812,412,4695.0,4082.0,3
1814,406,4865.0,3912.0,3
1815,110,132.0,8645.0,1
1819,558,4061.0,4716.0,3
1825,345,3768.0,5009.0,2
1829,558,4117.0,4660.0,3
1830,108,134.0,8643.0,1
1832,109,134.0,8643.0,1
1834,322,849.0,7928.0,2
1836,108,135.0,8642.0,1
1838,110,135.0,8642.0,1
1839,110,135.0,8642.0,1
1841,109,131.0,8646.0,1
1845,309,2473.0,6304.0,2
1850,109,132.0,8645.0,1
1852,322,851.0,7926.0,2
1854,326,856.0,7921.0,2
1857,557,4100.0,4677.0,3
1860,109,135.0,8642.0,1
1865,326,862.0,7915.0,2
1870,315,821.0,7956.0,2
1878,109,132.0,8645.0,1
1882,558,4116.0,4661.0,3
1887,398,5069.0,3708.0,3
1893,108,133.0,8644.0,1
1895,316,823.0,7954.0,2
1896,319,830.0,7947.0,2
1898,110,130.0,8647.0,1
1900,325,851.0,7926.0,2
1901,423,7151.0,1626.0,3
1904,108,135.0,8642.0,1
1906,110,130.0,8647.0,1
1908,321,839.0,7938.0,2
1919,110,132.0,8645.0,1
1922,559,4114.0,4663.0,3
1924,110,132.0,8645.0,1
1927,559,4117.0,4660.0,3
1928,111,132.0,8645.0,1
1929,325,859.0,7918.0,2
1930,331,878.0,7899.0,2
1934,556,4064.0,4713.0,3
1936,323,846.0,7931.0,2
1937,108,134.0,8643.0,1
1940,557,4079.0,4698.0,3
1943,558,4109.0,4668.0,3
1945,556,4096.0,4681.0,3
1946,559,4129.0,4648.0,3
1953,321,840.0,7937.0,2
1955,110,137.0,8640.0,1
1956,108,130.0,8647.0,1
1957,108,131.0,8646.0,1
1959,313,802.0,7975.0,2
1961,552,4011.0,4766.0,3
1966,320,840.0,7937.0,2
1968,559,4112.0,4665.0,3
1970,109,133.0,8644.0,1
1971,558,4123.0,4654.0,3
1976,109,133.0,8644.0,1
1980,110,132.0,8645.0,1
1982,325,868.0,7909.0,2
1985,554,4050.0,4727.0,3
1990,326,847.0,7930.0,2
2002,556,4101.0,4676.0,3
2006,110,136.0,8641.0,1
2009,557,4105.0,4672.0,3
2012,556,4083.0,4694.0,3
2013,556,4116.0,4661.0,3
2014,558,4085.0,4692.0,3
2018,556,4088.0,4689.0,3
2025,556,4079.0,4698.0,3
2028,107,136.0,8641.0,1
2029,331,886.0,7891.0,2
2042,494,4219.0,4558.0,3
2044,108,132.0,8645.0,1
2045,320,846.0,7931.0,2
2046,323,847.0,7930.0,2
2048,558,4105.0,4672.0,3
2049,111,131.0,8646.0,1
2052,112,137.0,8640.0,1
2053,555,4048.0,4729.0,3
2055,329,879.0,7898.0,2
2057,318,822.0,7955.0,2
2059,555,4087.0,4690.0,3
2066,327,864.0,7913.0,2
2067,110,134.0,8643.0,1
2069,554,4041.0,4736.0,3
2070,322,845.0,7932.0,2
2071,556,4061.0,4716.0,3
2072,313,813.0,7964.0,2
2073,110,131.0,8646.0,1
2075,111,133.0,8644.0,1
2079,558,4097.0,4680.0,3
2080,320,834.0,7943.0,2
2082,328,878.0,7899.0,2
2085,323,855.0,7922.0,2
2088,558,4117.0,4660.0,3
2092,555,4069.0,4708.0,3
2096,109,130.0,8647.0,1
2098,108,131.0,8646.0,1
2101,556,4084.0,4693.0,3
2102,109,135.0,8642.0,1
2112,107,135.0,8642.0,1
2119,322,853.0,7924.0,2
2120,555,4051.0,4726.0,3
2122,107,134.0,8643.0,1
2124,556,4066.0,4711.0,3
2128,110,132.0,8645.0,1
2129,323,841.0,7936.0,2
2131,317,818.0,7959.0,2
2133,557,4110.0,4667.0,3
2135,109,136.0,8641.0,1
2137,555,4053.0,4724.0,3
2140,324,858.0,7919.0,2
2141,323,848.0,7929.0,2
2145,558,4129.0,4648.0,3
2146,558,4105.0,4672.0,3
2149,319,838.0,7939.0,2
2151,552,4060.0,4717.0,3
2152,327,859.0,7918.0,2
2157,557,4107.0,4670.0,3
2158,555,4064.0,4713.0,3
2159,425,4485.0,4292.0,3
2162,321,841.0,7936.0,2
2168,556,4074.0,4703.0,3
2169,557,4076.0,4701.0,3
2172,554,4059.0,4718.0,3
2180,107,133.0,8644.0,1
2185,318,822.0,7955.0,2
2186,108,136.0,8641.0,1
2194,109,132.0,8645.0,1
2195,110,135.0,8642.0,1
2197,556,4066.0,4711.0,3
2199,331,880.0,7897.0,2
2201,556,4087.0,4690.0,3
2203,319,827.0,7950.0,2
2213,321,846.0,7931.0,2
2215,327,859.0,7918.0,2
2226,330,880.0,7897.0,2
2228,400,5742.0,3035.0,3
2230,557,4105.0,4672.0,3
2232,330,874.0,7903.0,2
2237,110,135.0,8642.0,1
2238,558,4097.0,4680.0,3
2239,556,4090.0,4687.0,3
2244,555,4069.0,4708.0,3
2245,327,877.0,7900.0,2
2246,322,846.0,7931.0,2
2247,533,4165.0,4612.0,3
2250,110,137.0,8640.0,1
2252,108,132.0,8645.0,1
2253,556,4082.0,4695.0,3
2255,558,4101.0,4676.0,3
2262,556,4091.0,4686.0,3
2264,110,137.0,8640.0,1
2270,109,136.0,8641.0,1
2275,324,852.0,7925.0,2
2279,323,842.0,7935.0,2
2281,559,4154.0,4623.0,3
2282,556,4065.0,4712.0,3
2288,320,841.0,7936.0,2
2290,321,843.0,7934.0,2
2294,559,4120.0,4657.0,3
2295,416,6723.0,2054.0,3
2296,108,135.0,8642.0,1
2303,323,844.0,7933.0,2
2305,557,4066.0,4711.0,3
2307,107,130.0,8647.0,1
2308,110,128.0,8649.0,1
2309,553,4059.0,4718.0,3
2310,558,4088.0,4689.0,3
2312,324,860.0,7917.0,2
2313,112,137.0,8640.0,1
2315,107,136.0,8641.0,1
2316,109,133.0,8644.0,1
2319,110,132.0,8645.0,1
2321,109,132.0,8645.0,1
2324,409,6383.0,2394.0,3
2325,328,871.0,7906.0,2
2333,556,4106.0,4671.0,3
2336,326,860.0,7917.0,2
2340,111,132.0,8645.0,1
2341,108,134.0,8643.0,1
2344,109,134.0,8643.0,1
2345,558,4132.0,4645.0,3
2346,324,849.0,7928.0,2
2349,326,861.0,7916.0,2
2350,373,4787.0,3990.0,2
2351,109,133.0,8644.0,1
2356,110,137.0,8640.0,1
2370,110,135.0,8642.0,1
2372,321,837.0,7940.0,2
2373,555,4076.0,4701.0,3
2375,108,130.0,8647.0,1
2376,109,132.0,8645.0,1
2379,320,831.0,7946.0,2
2383,555,4072.0,4705.0,3
2385,110,135.0,8642.0,1
2387,334,909.0,7868.0,2
2389,327,861.0,7916.0,2
2393,107,135.0,8642.0,1
2396,109,134.0,8643.0,1
2397,110,131.0,8646.0,1
2399,319,826.0,7951.0,2
2400,300,1787.0,6990.0,2
2401,556,4100.0,4677.0,3
2405,559,4112.0,4665.0,3
2407,326,867.0,7910.0,2
2416,109,134.0,8643.0,1
2420,557,4101.0,4676.0,3
2422,558,4098.0,4679.0,3
2423,557,4108.0,4669.0,3
2424,108,136.0,8641.0,1
2428,327,866.0,7911.0,2
2430,556,4087.0,4690.0,3
2431,559,4118.0,4659.0,3
2432,476,4241.0,4536.0,3
2436,327,874.0,7903.0,2
2437,108,135.0,8642.0,1
2440,554,4057.0,4720.0,3
2445,327,875.0,7902.0,2
2446,322,841.0,7936.0,2
2456,330,876.0,7901.0,2
2460,556,4099.0,4678.0,3
2463,323,854.0,7923.0,2
2464,107,133.0,8644.0,1
2466,109,134.0,8643.0,1
2468,553,4034.0,4743.0,3
2473,109,134.0,8643.0,1
2478,555,4087.0,4690.0,3
2480,558,4119.0,4658.0,3
2481,559,4107.0,4670.0,3
2483,109,133.0,8644.0,1
2485,319,825.0,7952.0,2
2490,555,4056.0,4721.0,3
2491,323,854.0,7923.0,2
2493,559,4118.0,4659.0,3
2495,109,131.0,8646.0,1
2497,323,856.0,7921.0,2
2502,558,4118.0,4659.0,3
2504,107,133.0,8644.0,1
2505,323,853.0,7924.0,2
2508,554,4048.0,4729.0,3
2509,323,851.0,7926.0,2
2512,111,131.0,8646.0,1
2516,319,839.0,7938.0,2
2518,335,894.0,7883.0,2
2519,556,4109.0,4668.0,3
2522,306,2017.0,6760.0,2
2523,555,4091.0,4686.0,3
2527,557,4103.0,4674.0,3
2533,329,877.0,7900.0,2
2536,326,872.0,7905.0,2
2538,109,133.0,8644.0,1
2549,555,4074.0,4703.0,3
2551,328,871.0,7906.0,2
2556,335,3417.0,5360.0,2
2563,557,4093.0,4684.0,3
2564,559,4116.0,4661.0,3
2567,320,834.0,7943.0,2
2569,324,857.0,7920.0,2
2572,327,872.0,7905.0,2
2574,557,4084.0,4693.0,3
2576,553,4031.0,4746.0,3
2582,315,832.0,7945.0,2
2587,108,133.0,8644.0,1
2590,328,872.0,7905.0,2
2598,108,133.0,8644.0,1
2605,314,817.0,7960.0,2
2606,558,4129.0,4648.0,3
2607,111,137.0,8640.0,1
2609,109,134.0,8643.0,1
2614,554,4061.0,4716.0,3
2615,108,134.0,8643.0,1
2618,111,128.0,8649.0,1
2620,556,4085.0,4692.0,3
2627,554,4070.0,4707.0,3
2629,319,833.0,7944.0,2
2631,317,826.0,7951.0,2
2634,320,835.0,7942.0,2
2643,556,4092.0,4685.0,3
2644,557,4126.0,4651.0,3
2645,322,839.0,7938.0,2
2646,559,4112.0,4665.0,3
2648,318,840.0,7937.0,2
2656,418,4615.0,4162.0,3
2658,109,132.0,8645.0,1
2662,109,136.0,8641.0,1
2665,110,130.0,8647.0,1
2669,108,134.0,8643.0,1
2674,107,136.0,8641.0,1
2675,109,134.0,8643.0,1
2678,320,839.0,7938.0,2
2683,557,4079.0,4698.0,3
2690,323,849.0,7928.0,2
2691,328,860.0,7917.0,2
2694,109,130.0,8647.0,1
2696,321,843.0,7934.0,2
2697,233,1504.0,7273.0,1
2701,554,4026.0,4751.0,3
2706,557,4126.0,4651.0,3
2711,109,136.0,8641.0,1
2712,321,843.0,7934.0,2
2714,107,138.0,8639.0,1
2717,108,130.0,8647.0,1
2718,331,884.0,7893.0,2
2719,559,4112.0,4665.0,3
2722,326,864.0,7913.0,2
2740,109,132.0,8645.0,1
2741,200,1009.0,7768.0,1
2745,555,4085.0,4692.0,3
2747,326,858.0,7919.0,2
2750,327,865.0,7912.0,2
2753,326,865.0,7912.0,2
2756,557,4068.0,4709.0,3
2757,109,137.0,8640.0,1
2762,557,4117.0,4660.0,3
2763,110,135.0,8642.0,1
2765,555,4074.0,4703.0,3
2766,557,4086.0,4691.0,3
2767,109,134.0,8643.0,1
2768,555,4081.0,4696.0,3
2776,329,872.0,7905.0,2
2779,327,867.0,7910.0,2
2781,110,129.0,8648.0,1
2782,322,843.0,7934.0,2
2785,319,827.0,7950.0,2
2787,109,136.0,8641.0,1
2794,557,4120.0,4657.0,3
2803,557,4105.0,4672.0,3
2804,559,4101.0,4676.0,3
2807,556,4094.0,4683.0,3
2810,556,4099.0,4678.0,3
2812,325,855.0,7922.0,2
2816,557,4094.0,4683.0,3
2817,327,863.0,7914.0,2
2819,320,836.0,7941.0,2
2826,326,859.0,7918.0,2
2828,110,133.0,8644.0,1
2830,110,133.0,8644.0,1
2833,107,130.0,8647.0,1
2837,110,133.0,8644.0,1
2838,558,4132.0,4645.0,3
2842,323,854.0,7923.0,2
2843,325,857.0,7920.0,2
2846,327,862.0,7915.0,2
2849,323,841.0,7936.0,2
2852,109,132.0,8645.0,1
2855,110,134.0,8643.0,1
2859,108,134.0,8643.0,1
2862,325,861.0,7916.0,2
2866,555,4068.0,4709.0,3
2868,558,4116.0,4661.0,3
2871,111,134.0,8643.0,1
2873,321,846.0,7931.0,2
2875,110,135.0,8642.0,1
2876,326,859.0,7918.0,2
2889,328,865.0,7912.0,2
2891,329,872.0,7905.0,2
2892,109,135.0,8642.0,1
2897,299,1902.0,6875.0,2
2903,555,4118.0,4659.0,3
2904,324,837.0,7940.0,2
2905,557,4095.0,4682.0,3
2907,554,4038.0,4739.0,3
2911,333,896.0,7881.0,2
2913,110,134.0,8643.0,1
2916,108,133.0,8644.0,1
2917,110,131.0,8646.0,1
2921,557,4083.0,4694.0,3
2928,303,1411.0,7366.0,2
2929,556,4067.0,4710.0,3
2932,555,4089.0,4688.0,3
2933,322,836.0,7941.0,2
2936,316,823.0,7954.0,2
2942,107,135.0,8642.0,1
2944,110,134.0,8643.0,1
2947,398,5446.0,3331.0,3
2954,109,132.0,8645.0,1
2958,324,854.0,7923.0,2
2960,108,136.0,8641.0,1
2961,557,4094.0,4683.0,3
2962,108,133.0,8644.0,1
2963,556,4078.0,4699.0,3
2964,557,4101.0,4676.0,3
2968,559,4132.0,4645.0,3
2970,558,4122.0,4655.0,3
2972,558,4116.0,4661.0,3
2973,110,131.0,8646.0,1
2975,108,135.0,8642.0,1
2977,321,837.0,7940.0,2
2979,110,131.0,8646.0,1
2981,555,4071.0,4706.0,3
2990,555,4077.0,4700.0,3
2995,556,4077.0,4700.0,3
2999,555,4061.0,4716.0,3
3003,554,4055.0,4722.0,3
3005,325,859.0,7918.0,2
3006,328,875.0,7902.0,2
3008,108,137.0,8640.0,1
3010,559,4118.0,4659.0,3
3011,109,135.0,8642.0,1
3012,107,136.0,8641.0,1
3013,109,133.0,8644.0,1
3016,557,4117.0,4660.0,3
3018,323,845.0,7932.0,2
3022,321,842.0,7935.0,2
3027,108,132.0,8645.0,1
3030,555,4073.0,4704.0,3
3032,318,831.0,7946.0,2
3036,546,4077.0,4700.0,3
3039,327,871.0,7906.0,2
3040,108,133.0,8644.0,1
3042,557,4103.0,4674.0,3
3052,109,130.0,8647.0,1
3054,109,138.0,8639.0,1
3057,328,872.0,7905.0,2
3060,109,133.0,8644.0,1
3069,314,821.0,7956.0,2
3071,557,4117.0,4660.0,3
3073,109,132.0,8645.0,1
3075,109,138.0,8639.0,1
3076,324,863.0,7914.0,2
3080,318,834.0,7943.0,2
3081,328,866.0,7911.0,2
3083,109,131.0,8646.0,1
3086,108,133.0,8644.0,1
3090,108,130.0,8647.0,1
3091,557,4099.0,4678.0,3
3094,558,4116.0,4661.0,3
3099,559,4134.0,4643.0,3
3104,323,855.0,7922.0,2
3105,317,831.0,7946.0,2
3108,320,825.0,7952.0,2
3112,106,137.0,8640.0,1
3114,107,133.0,8644.0,1
3116,558,4113.0,4664.0,3
3117,553,4074.0,4703.0,3
3121,109,132.0,8645.0,1
3129,401,5739.0,3038.0,3
3131,556,4073.0,4704.0,3
3145,109,135.0,8642.0,1
3148,557,4087.0,4690.0,3
3149,307,2402.0,6375.0,2
3155,109,129.0,8648.0,1
3158,558,4114.0,4663.0,3
3162,326,858.0,7919.0,2
3163,111,133.0,8644.0,1
3168,554,4055.0,4722.0,3
3169,557,4095.0,4682.0,3
3170,111,135.0,8642.0,1
3172,110,137.0,8640.0,1
3178,556,4100.0,4677.0,3
3179,558,4091.0,4686.0,3
3180,324,840.0,7937.0,2
3186,321,853.0,7924.0,2
3189,109,135.0,8642.0,1
3191,319,835.0,7942.0,2
3193,333,888.0,7889.0,2
3194,328,865.0,7912.0,2
3195,553,4041.0,4736.0,3
3196,326,870.0,7907.0,2
3197,561,4155.0,4622.0,3
3211,323,859.0,7918.0,2
3213,557,4101.0,4676.0,3
3214,110,133.0,8644.0,1
3215,110,130.0,8647.0,1
3216,331,883.0,7894.0,2
3217,319,838.0,7939.0,2
3227,109,134.0,8643.0,1
3229,559,4121.0,4656.0,3
3241,325,856.0,7921.0,2
3253,110,134.0,8643.0,1
3255,109,131.0,8646.0,1
3256,108,132.0,8645.0,1
3264,109,134.0,8643.0,1
3265,324,858.0,7919.0,2
3266,325,876.0,7901.0,2
3267,324,848.0,7929.0,2
3271,111,132.0,8645.0,1
3274,555,4058.0,4719.0,3
3275,324,853.0,7924.0,2
3276,411,6383.0,2394.0,3
3277,556,4099.0,4678.0,3
3282,108,132.0,8645.0,1
3285,110,131.0,8646.0,1
3286,435,7803.0,974.0,3
3287,557,4120.0,4657.0,3
3291,559,4125.0,4652.0,3
3293,108,136.0,8641.0,1
3297,559,4127.0,4650.0,3
3298,322,856.0,7921.0,2
3299,558,4110.0,4667.0,3
3301,320,830.0,7947.0,2
3306,107,137.0,8640.0,1
3312,321,842.0,7935.0,2
3314,323,845.0,7932.0,2
3315,555,4076.0,4701.0,3
3320,323,852.0,7925.0,2
3321,557,4085.0,4692.0,3
3322,556,4075.0,4702.0,3
3323,322,849.0,7928.0,2
3328,555,4076.0,4701.0,3
3329,326,870.0,7907.0,2
3334,109,135.0,8642.0,1
3338,327,869.0,7908.0,2
3339,110,132.0,8645.0,1
3342,109,131.0,8646.0,1
3344,108,135.0,8642.0,1
3346,324,859.0,7918.0,2
3348,534,4083.0,4694.0,3
3349,108,135.0,8642.0,1
3351,328,873.0,7904.0,2
3357,375,4873.0,3904.0,1
3359,109,132.0,8645.0,1
3361,109,131.0,8646.0,1
3362,109,133.0,8644.0,1
3368,556,4077.0,4700.0,3
3369,318,821.0,7956.0,2
3370,323,844.0,7933.0,2
3371,108,136.0,8641.0,1
3375,557,4103.0,4674.0,3
3376,323,850.0,7927.0,2
3381,557,4093.0,4684.0,3
3385,109,132.0,8645.0,1
3389,328,879.0,7898.0,2
3390,324,855.0,7922.0,2
3391,324,853.0,7924.0,2
3393,110,134.0,8643.0,1
3394,324,846.0,7931.0,2
3397,111,130.0,8647.0,1
3407,335,902.0,7875.0,2
3412,321,833.0,7944.0,2
3415,320,832.0,7945.0,2
3418,107,136.0,8641.0,1
3419,319,831.0,7946.0,2
3423,321,837.0,7940.0,2
3428,555,4058.0,4719.0,3
3433,322,847.0,7930.0,2
3435,325,859.0,7918.0,2
3438,110,133.0,8644.0,1
3439,557,4108.0,4669.0,3
3441,557,4097.0,4680.0,3
3448,318,825.0,7952.0,2
3459,110,131.0,8646.0,1
3465,110,133.0,8644.0,1
3472,555,4089.0,4688.0,3
3473,325,850.0,7927.0,2
3475,109,139.0,8638.0,1
3476,109,136.0,8641.0,1
3477,108,133.0,8644.0,1
3479,108,135.0,8642.0,1
3480,559,4107.0,4670.0,3
3481,112,131.0,8646.0,1
3482,109,133.0,8644.0,1
3483,321,833.0,7944.0,2
3484,108,135.0,8642.0,1
3490,556,4108.0,4669.0,3
3495,321,845.0,7932.0,2
3498,109,132.0,8645.0,1
3500,108,131.0,8646.0,1
3502,326,858.0,7919.0,2
3503,322,839.0,7938.0,2
3507,320,836.0,7941.0,2
3510,333,881.0,7896.0,2
3515,558,4118.0,4659.0,3
3517,557,4099.0,4678.0,3
3520,108,133.0,8644.0,1
3524,107,135.0,8642.0,1
3526,318,824.0,7953.0,2
3529,326,867.0,7910.0,2
3536,555,4055.0,4722.0,3
3542,534,4103.0,4674.0,3
3544,324,849.0,7928.0,2
3546,557,4073.0,4704.0,3
3549,108,132.0,8645.0,1
3553,110,131.0,8646.0,1
3554,108,130.0,8647.0,1
3556,556,4072.0,4705.0,3
3558,110,133.0,8644.0,1
3559,328,868.0,7909.0,2
3561,109,132.0,8645.0,1
3570,108,134.0,8643.0,1
3572,553,4045.0,4732.0,3
3583,557,4116.0,4661.0,3
3584,108,133.0,8644.0,1
3586,557,4077.0,4700.0,3
3587,110,132.0,8645.0,1
3590,111,133.0,8644.0,1
3597,558,4104.0,4673.0,3
3598,318,821.0,7956.0,2
3607,554,4062.0,4715.0,3
3611,557,4089.0,4688.0,3
3614,109,131.0,8646.0,1
3615,555,4052.0,4725.0,3
3616,108,133.0,8644.0,1
3620,329,877.0,7900.0,2
3623,109,132.0,8645.0,1
3626,108,132.0,8645.0,1
3627,324,858.0,7919.0,2
3639,107,132.0,8645.0,1
3645,558,4111.0,4666.0,3
3646,554,4078.0,4699.0,3
3649,109,132.0,8645.0,1
3650,324,850.0,7927.0,2
3651,333,890.0,7887.0,2
3653,324,845.0,7932.0,2
3656,559,4136.0,4641.0,3
3660,519,4114.0,4663.0,3
3662,323,857.0,7920.0,2
3664,323,850.0,7927.0,2
3665,556,4105.0,4672.0,3
3666,326,856.0,7921.0,2
3669,554,4038.0,4739.0,3
3671,322,845.0,7932.0,2
3672,554,4052.0,4725.0,3
3676,110,134.0,8643.0,1
3677,107,132.0,8645.0,1
3684,322,857.0,7920.0,2
3685,111,132.0,8645.0,1
3686,317,820.0,7957.0,2
3687,558,4119.0,4658.0,3
3693,108,134.0,8643.0,1
3700,318,827.0,7950.0,2
3701,557,4092.0,4685.0,3
3702,107,132.0,8645.0,1
3705,322,847.0,7930.0,2
3710,558,4090.0,4687.0,3
3711,558,4116.0,4661.0,3
3712,554,4054.0,4723.0,3
3723,108,135.0,8642.0,1
3728,560,4138.0,4639.0,3
3729,321,840.0,7937.0,2
3734,109,136.0,8641.0,1
3735,555,4088.0,4689.0,3
3736,312,803.0,7974.0,2
3746,108,135.0,8642.0,1
3753,110,135.0,8642.0,1
3756,110,137.0,8640.0,1
3758,319,836.0,7941.0,2
3766,109,135.0,8642.0,1
3767,110,140.0,8637.0,1
3775,557,4084.0,4693.0,3
3779,558,4101.0,4676.0,3
3784,321,842.0,7935.0,2
3786,109,133.0,8644.0,1
3788,110,133.0,8644.0,1
3790,326,870.0,7907.0,2
3791,110,130.0,8647.0,1
3792,317,833.0,7944.0,2
3794,556,4077.0,4700.0,3
3795,556,4077.0,4700.0,3
3811,327,870.0,7907.0,2
3815,108,134.0,8643.0,1
3819,110,135.0,8642.0,1
3820,557,4079.0,4698.0,3
3824,444,4334.0,4443.0,3
3825,555,4055.0,4722.0,3
3827,556,4082.0,4695.0,3
3831,109,137.0,8640.0,1
3834,333,890.0,7887.0,2
3835,557,4074.0,4703.0,3
3837,109,134.0,8643.0,1
3838,109,135.0,8642.0,1
3840,556,4073.0,4704.0,3
3842,327,874.0,7903.0,2
3844,357,5022.0,3755.0,2
3849,319,821.0,7956.0,2
3850,556,4074.0,4703.0,3
3851,110,136.0,8641.0,1
3854,408,4763.0,4014.0,3
3858,111,129.0,8648.0,1
3864,109,133.0,8644.0,1
3871,328,869.0,7908.0,2
3874,554,4043.0,4734.0,3
3878,556,4068.0,4709.0,3
3883,108,133.0,8644.0,1
3884,556,4065.0,4712.0,3
3885,107,134.0,8643.0,1
3887,504,4167.0,4610.0,3
3888,320,819.0,7958.0,2
3889,556,4104.0,4673.0,3
3891,109,133.0,8644.0,1
3894,326,857.0,7920.0,2
3898,319,819.0,7958.0,2
3903,554,4065.0,4712.0,3
3914,322,843.0,7934.0,2
3919,556,4096.0,4681.0,3
3921,328,868.0,7909.0,2
3924,555,4059.0,4718.0,3
3927,322,836.0,7941.0,2
3929,109,134.0,8643.0,1
3933,109,132.0,8645.0,1
3935,107,132.0,8645.0,1
3937,109,134.0,8643.0,1
3938,331,881.0,7896.0,2
3939,332,892.0,7885.0,2
3941,108,131.0,8646.0,1
3948,555,4058.0,4719.0,3
3952,552,4045.0,4732.0,3
3954,323,858.0,7919.0,2
3958,316,822.0,7955.0,2
3961,510,4159.0,4618.0,3
3962,108,134.0,8643.0,1
3964,111,134.0,8643.0,1
3965,319,838.0,7939.0,2
3968,321,838.0,7939.0,2
3973,553,4064.0,4713.0,3
3974,108,134.0,8643.0,1
3975,322,852.0,7925.0,2
3978,321,837.0,7940.0,2
3982,557,4083.0,4694.0,3
3983,557,4087.0,4690.0,3
3984,325,860.0,7917.0,2
3985,110,134.0,8643.0,1
3990,324,855.0,7922.0,2
4002,327,862.0,7915.0,2
4005,556,4111.0,4666.0,3
4006,109,133.0,8644.0,1
4009,325,860.0,7917.0,2
4010,325,852.0,7925.0,2
4020,555,4042.0,4735.0,3
4027,320,834.0,7943.0,2
4028,555,4079.0,4698.0,3
4029,558,4114.0,4663.0,3
4033,109,132.0,8645.0,1
4034,323,852.0,7925.0,2
4036,324,857.0,7920.0,2
4045,109,131.0,8646.0,1
4052,321,836.0,7941.0,2
4053,110,131.0,8646.0,1
4060,106,133.0,8644.0,1
4061,109,135.0,8642.0,1
4063,556,4087.0,4690.0,3
4065,110,128.0,8649.0,1
4066,318,836.0,7941.0,2
4077,559,4123.0,4654.0,3
4079,316,822.0,7955.0,2
4089,557,4123.0,4654.0,3
4094,330,886.0,7891.0,2
4095,402,5902.0,2875.0,3
4097,324,863.0,7914.0,2
4099,327,864.0,7913.0,2
4104,324,847.0,7930.0,2
4108,319,834.0,7943.0,2
4110,557,4092.0,4685.0,3
4111,324,838.0,7939.0,2
4113,107,134.0,8643.0,1
4117,327,865.0,7912.0,2
4120,321,839.0,7938.0,2
4121,557,4104.0,4673.0,3
4122,108,134.0,8643.0,1
4124,560,4158.0,4619.0,3
